cycle,e_sweep,e_obs,attr_std,trans_std,e_alt,attr_r1,r1_disagree,trans_r1,pop_xor,attr_r2,r2_disagree,trans_r2,e_lag,attr_r3,r3_disagree,trans_r3,e_r4,attr_r4,r4_disagree,trans_r4,rot_k,epoch_mask
3280,17,17,4,0,12,4,0,1,4,4,0,0,15,4,0,0,3,4,0,0,4,5353
3281,18,18,4,0,1,4,0,0,7,4,0,0,17,4,0,0,51,2,1,1,4,5353
3282,19,19,4,0,5,4,0,0,4,4,0,0,18,4,0,0,35,4,0,1,4,5353
3283,20,19,4,0,6,4,0,0,8,4,0,0,19,4,0,0,44,4,0,0,4,5353
3284,21,20,4,0,25,4,0,0,7,4,0,0,19,4,0,0,31,4,0,0,4,5353
3285,22,21,4,0,31,4,0,0,4,4,0,0,20,4,0,0,4,4,0,0,4,5353
3286,23,22,4,0,16,4,0,0,6,4,0,0,21,4,0,0,62,2,1,1,4,5353
3287,24,23,4,0,21,4,0,0,4,4,0,0,22,4,0,0,43,4,0,1,4,5353
3288,25,24,4,0,47,4,0,0,5,4,0,0,23,4,0,0,28,4,0,0,4,5353
3289,26,25,4,0,43,4,0,0,9,4,0,0,24,4,0,0,14,4,0,0,4,5353
3290,27,26,4,0,39,4,0,0,7,4,0,0,25,4,0,0,58,2,1,1,4,5353
3291,28,28,4,0,62,2,1,1,6,4,0,0,26,4,0,0,19,4,0,1,4,5353
3292,29,28,4,0,61,2,1,0,7,4,0,0,28,4,0,0,28,4,0,0,4,5353
3293,30,29,4,0,57,2,1,0,7,4,0,0,28,4,0,0,14,4,0,0,4,5353
3294,31,30,4,0,53,2,1,0,4,4,0,0,29,4,0,0,59,2,1,1,4,5353
3295,32,31,4,0,48,4,0,1,7,4,0,0,30,4,0,0,56,2,1,0,7,5031
3296,33,32,4,0,18,4,0,0,5,4,0,0,31,4,0,0,16,4,0,1,7,5031
3297,34,33,4,0,21,4,0,0,9,4,0,0,32,4,0,0,34,4,0,0,7,5031
3298,35,34,4,0,27,4,0,0,5,4,0,0,33,4,0,0,6,4,0,0,7,5031
3299,36,36,4,0,2,4,0,0,6,4,0,0,34,4,0,0,14,4,0,0,7,5031
3300,37,36,4,0,1,4,0,0,6,4,0,0,36,4,0,0,56,2,1,1,7,5031
3301,38,37,4,0,4,4,0,0,5,4,0,0,36,4,0,0,16,4,0,1,7,5031
3302,39,38,4,0,10,4,0,0,5,4,0,0,37,4,0,0,32,4,0,0,7,5031
3303,40,39,4,0,13,4,0,0,2,4,0,0,38,4,0,0,2,4,0,0,7,5031
3304,41,41,4,0,48,4,0,0,8,4,0,0,39,4,0,0,10,4,0,0,7,5031
3305,42,42,4,0,61,2,1,1,6,4,0,0,41,4,0,0,12,4,0,0,7,5031
3306,43,42,4,0,62,2,1,0,8,4,0,0,42,4,0,0,54,2,1,1,7,5031
3307,44,43,4,0,58,2,1,0,9,4,0,0,42,4,0,0,44,4,0,1,7,5031
3308,45,44,4,0,39,4,0,1,6,4,0,0,43,4,0,0,58,2,1,1,7,5031
3309,46,45,4,0,32,4,0,0,5,4,0,0,44,4,0,0,22,4,0,1,7,5031
3310,47,46,4,0,46,4,0,0,8,4,0,0,45,4,0,0,44,4,0,0,7,5031
3311,48,47,4,0,42,4,0,0,7,4,0,0,46,4,0,0,31,4,0,0,10,3741
3312,49,48,4,0,26,4,0,0,6,4,0,0,47,4,0,0,44,4,0,0,10,3741
3313,50,49,4,0,29,4,0,0,8,4,0,0,48,4,0,0,12,4,0,0,10,3741
3314,51,50,2,1,16,4,1,0,9,4,1,0,49,4,1,0,28,4,1,0,10,3741
3315,52,51,2,0,22,4,1,0,7,4,1,0,50,2,0,1,60,2,0,1,10,3741
3316,53,52,2,0,8,4,1,0,8,4,1,0,51,2,0,0,60,2,0,0,10,3741
3317,54,53,2,0,13,4,1,0,7,4,1,0,52,2,0,0,60,2,0,0,10,3741
3318,55,54,2,0,1,4,1,0,4,4,1,0,53,2,0,0,44,4,1,1,10,3741
3319,56,55,2,0,7,4,1,0,5,4,1,0,54,2,0,0,28,4,1,0,10,3741
3320,57,56,2,0,60,2,0,1,8,4,1,0,55,2,0,0,61,2,0,1,10,3741
3321,58,57,2,0,57,2,0,0,5,4,1,0,56,2,0,0,61,2,0,0,10,3741
3322,59,58,2,0,52,2,0,0,8,4,1,0,57,2,0,0,61,2,0,0,10,3741
3323,60,59,2,0,51,2,0,0,7,4,1,0,58,2,0,0,45,4,1,1,10,3741
3324,61,60,2,0,46,4,1,1,8,4,1,0,59,2,0,0,29,4,1,0,10,3741
3325,62,61,2,0,42,4,1,0,8,4,1,0,60,2,0,0,45,4,1,0,10,3741
3326,63,62,2,0,38,4,1,0,7,4,1,0,61,2,0,0,13,4,1,0,10,3741
3327,0,63,3,1,34,4,1,0,11,4,1,0,62,2,1,0,22,4,1,0,0,6772
3328,1,0,1,1,3,4,1,0,0,1,0,1,63,3,1,1,41,4,1,0,0,6772
3329,2,1,4,1,6,4,0,0,7,4,0,1,0,1,1,1,40,4,0,0,0,6772
3330,3,3,4,0,13,4,0,0,6,4,0,0,1,4,0,1,42,4,0,0,0,6772
3331,4,4,4,0,18,4,0,0,8,4,0,0,3,4,0,0,45,4,0,0,0,6772
3332,5,4,4,0,17,4,0,0,4,4,0,0,4,4,0,0,45,4,0,0,0,6772
3333,6,5,4,0,20,4,0,0,5,4,0,0,4,4,0,0,44,4,0,0,0,6772
3334,7,6,4,0,26,4,0,0,4,4,0,0,5,4,0,0,47,4,0,0,0,6772
3335,8,7,4,0,29,4,0,0,6,4,0,0,6,4,0,0,46,4,0,0,0,6772
3336,9,8,4,0,39,4,0,0,4,4,0,0,7,4,0,0,33,4,0,0,0,6772
3337,10,9,4,0,34,4,0,0,8,4,0,0,8,4,0,0,32,4,0,0,0,6772
3338,11,10,4,0,45,4,0,0,6,4,0,0,9,4,0,0,35,4,0,0,0,6772
3339,12,11,4,0,41,4,0,0,4,4,0,0,10,4,0,0,34,4,0,0,0,6772
3340,13,12,4,0,54,2,1,1,8,4,0,0,11,4,0,0,37,4,0,0,0,6772
3341,14,13,4,0,50,2,1,0,9,4,0,0,12,4,0,0,36,4,0,0,0,6772
3342,15,14,4,0,63,3,1,1,9,4,0,0,13,4,0,0,39,4,0,0,0,6772
3343,16,15,4,0,59,2,1,1,6,4,0,0,14,4,0,0,30,4,0,0,3,2515
3344,17,16,4,0,9,4,0,1,5,4,0,0,15,4,0,0,37,4,0,0,3,2515
