cycle,regime,local_cycle,active_mode,mask_val,computed,computed_mod,e_field_base,e_field_mod,attractor_base,attractor_mod,attractor_changed,delta_computed,delta_mod,transition_base,mode_lfsr_state
5223,4,723,0,0,725,725,11,11,4,4,0,355,355,0,21415
5224,4,724,1,63,1434,1445,22,22,4,4,0,709,699,0,10062
5225,4,725,2,4032,2853,1253,44,19,4,4,0,1419,1397,0,20125
5226,4,726,3,4095,1595,2500,24,39,4,4,0,1258,1258,0,7482
5227,4,727,0,0,3174,3174,49,49,4,4,0,1579,1579,0,14964
5228,4,728,1,63,2236,2179,34,34,4,4,0,938,982,0,29929
5229,4,729,2,4032,361,3753,5,58,4,2,1,1875,1837,0,27091
5230,4,730,3,4095,705,3390,11,52,4,2,1,344,344,0,21415
5231,4,731,0,0,1399,1399,21,21,4,4,0,694,694,0,10062
5232,4,732,1,63,2782,2785,43,43,4,4,0,1383,1433,0,20125
5233,4,733,2,4032,1453,2669,22,41,4,4,0,1329,1359,0,7482
5234,4,734,3,4095,2885,1210,45,18,4,4,0,1432,1432,0,14964
5235,4,735,0,0,1666,1666,26,26,4,4,0,1219,1219,0,29929
5236,4,736,1,63,3322,3269,51,51,2,2,0,1656,1544,1,27091
5237,4,737,2,4032,2533,1573,39,24,4,4,0,789,747,1,21415
5238,4,738,3,4095,955,3140,14,49,4,4,0,1578,1578,0,10062
5239,4,739,0,0,1895,1895,29,29,4,4,0,940,940,0,20125
5240,4,740,1,63,3774,3713,58,58,2,2,0,1879,1833,1,7482
5241,4,741,2,4032,3436,684,53,10,2,4,1,338,302,0,14964
5242,4,742,3,4095,2756,1339,43,20,4,4,0,680,680,1,29929
5243,4,743,0,0,1409,1409,22,22,4,4,0,1347,1347,0,27091
5244,4,744,1,63,2805,2762,43,43,4,4,0,1396,1292,0,21415
5245,4,745,2,4032,1498,2586,23,40,4,4,0,1307,1253,0,10062
5246,4,746,3,4095,2981,1114,46,17,4,4,0,1483,1483,0,20125
5247,4,747,0,0,1850,1850,28,28,4,4,0,1131,1131,0,7482
5248,4,748,1,63,3684,3675,57,57,2,2,0,1834,1878,1,14964
5249,4,749,2,4032,3257,889,50,13,2,4,1,427,469,0,29929
5250,4,750,3,4095,2402,1693,37,26,4,4,0,855,855,1,27091
5251,4,751,0,0,693,693,10,10,4,4,0,1709,1709,0,21415
5252,4,752,1,63,1370,1381,21,21,4,4,0,677,731,0,10062
5253,4,753,2,4032,2725,1381,42,21,4,4,0,1355,1333,0,20125
5254,4,754,3,4095,1339,2756,20,43,4,4,0,1386,1386,0,7482
5255,4,755,0,0,2663,2663,41,41,4,4,0,1324,1324,0,14964
5256,4,756,1,63,1215,1152,18,18,4,4,0,1448,1496,0,29929
5257,4,757,2,4032,2414,1710,37,26,4,4,0,1199,1233,0,27091
5258,4,758,3,4095,710,3385,11,52,4,2,1,1704,1704,0,21415
5259,4,759,0,0,1412,1412,22,22,4,4,0,702,702,0,10062
5260,4,760,1,63,2817,2878,44,44,4,4,0,1405,1411,0,20125
5261,4,761,2,4032,1526,2614,23,40,4,4,0,1291,1397,0,7482
5262,4,762,3,4095,3037,1058,47,16,4,4,0,1511,1511,0,14964
5263,4,763,0,0,1963,1963,30,30,4,4,0,1074,1074,0,29929
5264,4,764,1,63,3907,3964,61,61,2,2,0,1944,2024,1,27091
5265,4,765,2,4032,3709,445,57,6,2,4,1,198,314,0,21415
